name,latitude,longitude
0,-23.4774094,-46.5493841
1,-23.4077798,-46.4681509
2,-23.3950926,-46.4497333
3,-23.4036348,-46.4026332
4,-23.3993031,-46.5209393
5,-23.4328382,-46.5544421
6,-23.464763,-46.393776
7,-23.4506929,-46.4202872
8,-23.4383143,-46.5503591
9,-23.4020847,-46.4387053
10,-23.4305978,-46.4457763
11,-23.4586123,-46.5519891
12,-23.474267,-46.392005
13,-23.4246047,-46.4946313
14,-23.4239025,-46.5073197
15,-23.4004703,-46.4813655
16,-23.3699095,-46.4440145
17,-23.4093717,-46.4520304
18,-23.4464605,-46.5089997
19,-23.3986684,-46.4379139
20,-23.4578089,-46.4174422
21,-23.4172515,-46.5022906
22,-23.4133775,-46.4985276
23,-23.4142808,-46.4164282
24,-23.4534187,-46.5566003
25,-23.4757814,-46.5481361
26,-23.4636144,-46.5459741
27,-23.4054225,-46.4925986
28,-23.4143604,-46.5118127
29,-23.5047465,-46.5506152
30,-23.4301763,-46.543481
31,-23.4078148,-46.4681189
32,-23.4415633,-46.5480341
33,-23.4300138,-46.4308732
34,-23.4602234,-46.540069
35,-23.4391313,-46.5530161
36,-23.4270833,-46.5505221
37,-23.4466903,-46.5630232
38,-23.4548477,-46.4621704
39,-23.473226,-46.39625
40,-23.4591134,-46.542028
41,-23.4662649,-46.4223922
42,-23.4663813,-46.5574642
43,-23.5049205,-46.5569873
44,-23.4298273,-46.5361099
45,-23.4527805,-46.5214049
46,-23.4432135,-46.5202718
47,-23.4285373,-46.549511
48,-23.4394033,-46.5578011
49,-23.478353,-46.388002
50,-23.4449603,-46.5567211
51,-23.3959753,-46.5189877
52,-23.4649754,-46.5468051
53,-23.4677065,-46.5347711
54,-23.4272693,-46.54622
55,-23.4556517,-46.5626603
56,-23.4642317,-46.4755105
57,-23.4494669,-46.4115401
58,-23.4391383,-46.546025
59,-23.4162216,-46.4683364
60,-23.4359958,-46.4224432
61,-23.4053485,-46.4783325
62,-23.4505705,-46.5147688
63,-23.4004399,-46.395472
